tournamentid;teammatchid;matchorder;matchid;matchtypeid;matchtypeno;team1player1memberid;team1player2memberid;team2player1memberid;team2player2memberid;winner;setcount;set1team1;set1team2;set2team1;set2team2;set3team1;set3team2;team1points;team2points;team1sets;team2sets;flag_MatchNotPlayedNoPlayers;flag_MatchNotPlayedTeam1DidNotShow;flag_MatchNotPlayedTeam2DidNotShow;flag_PenaltyTeam1;flag_PenaltyTeam2;flag_RetirementTeam1;flag_RetirementTeam2
159216;9;1;1;HD;1;50061319;50071942;50039675;50107383;2;3;21;16;17;21;13;21;51;58;1;2;false;false;false;false;false;false;false
159216;9;2;2;HD;2;50098624;50097074;50039675;50106208;2;2;13;21;22;24;0;0;35;45;0;2;false;false;false;false;false;false;false
159216;9;3;3;HD;3;50098624;50080152;50109183;50025471;1;2;21;19;21;17;0;0;42;36;2;0;false;false;false;false;false;false;false
159216;9;4;4;HD;4;50080535;50071942;50109183;50025471;1;2;21;13;21;16;0;0;42;29;2;0;false;false;false;false;false;false;false
159216;9;5;5;HE;1;50061319;;50039675;;2;2;19;21;19;21;0;0;38;42;0;2;false;false;false;false;false;false;false
159216;9;6;6;HE;2;50097074;;50106208;;1;2;21;9;21;17;0;0;42;26;2;0;false;false;false;false;false;false;false
159216;9;7;7;HE;3;50098624;;50107383;;1;2;21;19;21;15;0;0;42;34;2;0;false;false;false;false;false;false;false
159216;9;8;8;HE;4;50080535;;50109183;;1;2;21;15;21;19;0;0;42;34;2;0;false;false;false;false;false;false;false
159216;10;1;9;HD;1;50071238;50086028;50039675;50107383;2;3;21;13;16;21;11;21;48;55;1;2;false;false;false;false;false;false;false
159216;10;2;10;HD;2;50086028;50061496;50039675;50106208;2;3;18;21;21;19;14;21;53;61;1;2;false;false;false;false;false;false;false
159216;10;3;11;HD;3;50061496;50071238;50025471;50109183;2;2;17;21;18;21;0;0;35;42;0;2;false;false;false;false;false;false;false
159216;10;4;12;HD;4;50085208;50062683;50025471;50109183;2;3;21;17;19;21;16;21;56;59;1;2;false;false;false;false;false;false;false
159216;10;5;13;HE;1;50086028;;50039675;;2;2;13;21;7;21;0;0;20;42;0;2;false;false;false;false;false;false;false
159216;10;6;14;HE;2;50062683;;50109183;;2;3;15;21;21;14;8;21;44;56;1;2;false;false;false;false;false;false;false
159216;10;7;15;HE;3;50085208;;50107383;;1;2;21;12;21;18;0;0;42;30;2;0;false;false;false;false;false;false;false
159216;10;8;16;HE;4;50061496;;50106208;;1;2;21;9;21;15;0;0;42;24;2;0;false;false;false;false;false;false;false
159216;11;1;17;HD;1;50059746;50100676;50025471;50109183;2;2;12;21;12;21;0;0;24;42;0;2;false;false;false;false;false;false;false
159216;11;2;18;HD;2;50059746;50081730;50025471;50109183;2;2;19;21;9;21;0;0;28;42;0;2;false;false;false;false;false;false;false
159216;11;3;19;HD;3;50100676;50081730;50107383;50106208;2;3;21;15;18;21;16;21;55;57;1;2;false;false;false;false;false;false;false
159216;11;4;20;HD;4;;;50107383;50106208;6;2;0;21;0;21;0;0;0;42;0;2;false;true;false;false;false;false;false
159216;11;5;21;HE;1;50059746;;50106208;;2;3;21;18;13;21;16;21;50;60;1;2;false;false;false;false;false;false;false
159216;11;6;22;HE;2;50081730;;50109183;;2;2;14;21;12;21;0;0;26;42;0;2;false;false;false;false;false;false;false
159216;11;7;23;HE;3;50100676;;50107383;;2;2;17;21;18;21;0;0;35;42;0;2;false;false;false;false;false;false;false
159216;11;8;24;HE;4;;;50025471;;6;2;0;21;0;21;0;0;0;42;0;2;false;true;false;false;false;false;false
159216;12;1;25;HD;1;50102832;50060380;50039675;50107383;1;3;15;21;21;11;22;20;58;52;2;1;false;false;false;false;false;false;false
159216;12;2;26;HD;2;50102832;50075806;50039675;50106208;1;3;20;22;21;19;21;19;62;60;2;1;false;false;false;false;false;false;false
159216;12;3;27;HD;3;50057037;50075806;50025471;50109183;1;2;21;13;21;19;0;0;42;32;2;0;false;false;false;false;false;false;false
159216;12;4;28;HD;4;50093915;50106212;50025471;50109183;2;3;23;21;17;21;14;21;54;63;1;2;false;false;false;false;false;false;false
159216;12;5;29;HE;1;50093915;;50039675;;2;2;6;21;8;21;0;0;14;42;0;2;false;false;false;false;false;false;false
159216;12;6;30;HE;2;50057037;;50109183;;2;2;19;21;26;28;0;0;45;49;0;2;false;false;false;false;false;false;false
159216;12;7;31;HE;3;50106212;;50107383;;1;2;21;18;21;17;0;0;42;35;2;0;false;false;false;false;false;false;false
159216;12;8;32;HE;4;50060380;;50106208;;2;2;20;22;17;21;0;0;37;43;0;2;false;false;false;false;false;false;false
159216;13;1;33;HD;1;50049570;50041626;50039675;50107383;2;2;16;21;20;22;0;0;36;43;0;2;false;false;false;false;false;false;false
159216;13;2;34;HD;2;50053941;50090566;50039675;50106208;2;3;14;21;21;16;10;21;45;58;1;2;false;false;false;false;false;false;false
159216;13;3;35;HD;3;50091205;50041626;50025471;50109183;2;3;19;21;21;9;19;21;59;51;1;2;false;false;false;false;false;false;false
