tournamentid;matchid;LeagueTypeID;LeagueTypeName;eventid;eventcode;eventname;drawid;drawcode;drawname;team1id;team1name;team2id;team2name;winner;plannedtime;plannedtime_original;locationid;locationname;team1matchpoints;team2matchpoints;team1matches;team2matches;team1sets;team2sets;team1points;team2points;HomeAwaySwapped;teamresult_enteredon;teamresult_user;submatchresult_enteredon;submatchresult_user;teammatchconfirmed_confirmedon;teammatchconfirmed_user;flag_MatchNotPlayedTeam1DidNotShow;flag_MatchNotPlayedTeam2DidNotShow;flag_PenaltyTeam1;flag_PenaltyTeam2;flag_PenaltyTeam1AllPoints;flag_PenaltyTeam2AllPoints;flag_PenaltyBothTeams
161528;609;2;Heren;18;;4 de;12;;Prov;;plemke 2H;;Smash 4H;1;26-1-2017 19:15:00;26-1-2017 19:15:00;;;2;0;1;0;12;4;312;222;False;27-1-2017 00:18:25;Stefan Wijnants T PLEMKE BC TONGEREN;27-1-2017 00:27:44;Stefan Wijnants T PLEMKE BC TONGEREN;29-1-2017 15:35:47;Jan Claes;false;false;false;false;false;false;false
161528;480;3;Dames;19;;2 de;14;;Prov;;Opbad 1D;;BC BOBAD 1D;1;26-1-2017 19:30:00;15-1-2017 13:30:00;;;2;0;1;0;16;1;353;210;False;;;27-1-2017 21:00:48;OPBAD BC;30-1-2017 08:02:18;Henri Achten;false;false;false;false;false;false;false
161528;516;2;Heren;16;;2 de;9;;Prov B;;De Bokkerijder 3H;;Hebad 4H;1;27-1-2017 21:00:00;31-3-2017 21:00:00;;;2;0;1;0;16;0;336;0;False;;;28-1-2017 10:47:46;BC DE BOKKERIJDER;27-4-2017 10:36:30;Ronny Put;false;false;false;false;false;false;false
161528;454;3;Dames;8;;1 ste;13;;Prov;;Drive D1;;Looise 1D;2;29-1-2017 09:15:00;12-2-2017 09:15:00;;;0;2;0;1;0;16;144;336;False;29-1-2017 10:50:42;Johan Straetemans;29-1-2017 10:57:10;Johan Straetemans;29-1-2017 14:40:33;Wenche Janssens;false;false;false;false;false;false;false
161528;306;2;Heren;16;;2 de;9;;Prov B;;Nieuwerkerken H1;;BCZ SLAGVELD 1;2;29-1-2017 09:30:00;29-1-2017 09:30:00;;;0;2;0;1;1;16;208;355;False;;;29-1-2017 09:43:17;badmintonclub Nieuwerkerken;;;false;false;false;false;false;false;false
161528;562;3;Dames;19;;2 de;14;;Prov;;Neerpelt 2D;;BC BOBAD 2D;1;29-1-2017 10:00:00;29-1-2017 10:00:00;;;2;0;1;0;13;5;366;309;False;;;30-1-2017 09:25:27;luc driesen;6-2-2017 08:30:48;Henri Achten;false;false;false;false;false;false;false
161528;486;3;Dames;19;;2 de;14;;Prov;;BC BOBAD 1D;;De Bokkerijder 3D;3;29-1-2017 10:15:00;29-1-2017 10:15:00;;;1;1;0;0;9;9;330;310;False;30-1-2017 08:03:06;Henri Achten;30-1-2017 08:12:45;Henri Achten;5-2-2017 23:04:40;BC DE BOKKERIJDER;false;false;false;false;false;false;false
161528;378;2;Heren;17;;3 de;11;;Prov B;;BC BOBAD 2H;;BCZ SLAGVELD 2;1;29-1-2017 10:15:00;29-1-2017 10:15:00;;;2;0;1;0;13;6;381;313;False;30-1-2017 08:16:14;Henri Achten;30-1-2017 08:20:03;Henri Achten;;;false;false;false;false;false;false;false
161528;477;3;Dames;19;;2 de;14;;Prov;;Looise 2D;;Opbad 1D;2;29-1-2017 13:30:00;2-4-2017 15:15:00;;;0;2;0;1;1;16;215;355;True;;;29-1-2017 20:18:41;OPBAD BC;30-1-2017 14:13:07;Febe Vandeweyer;false;false;false;false;false;false;false
161528;347;2;Heren;17;;3 de;10;;Prov A;;Dibad 3H;;Smash 2H;2;29-1-2017 14:00:00;9-4-2017 14:00:00;;;0;2;0;1;4;15;276;374;False;;;30-1-2017 07:39:14;Bart Hanoulle;30-1-2017 14:44:36;Jan Claes;false;false;false;false;false;false;false
161528;360;2;Heren;17;;3 de;10;;Prov A;;Smash 3H;;BMC Peer H1;2;29-1-2017 14:15:00;22-1-2017 09:15:00;;;0;2;0;1;5;13;285;352;False;;;29-1-2017 23:52:40;Jan Claes;6-2-2017 16:33:33;Stefan Rutten;false;false;false;false;false;false;false
161528;414;2;Heren;18;;4 de;12;;Prov;;Fz Forza Webacsa 3H;;De Bokkerijder 4H;2;29-1-2017 19:15:00;29-1-2017 10:15:00;;;0;2;0;1;8;11;320;354;False;;;29-1-2017 21:54:05;Club Webacsa;30-1-2017 00:03:33;BC DE BOKKERIJDER;false;false;false;false;false;false;false
161528;405;2;Heren;18;;4 de;12;;Prov;;FZ Forza Webacsa 4H;;BCZ SLAGVELD 3;3;29-1-2017 19:15:00;2-4-2017 14:15:00;;;1;1;0;0;11;10;375;380;False;;;31-1-2017 18:39:39;Club Webacsa;2-2-2017 10:17:12;club BCZ Slagveld;false;false;false;false;false;false;false
161528;382;2;Heren;17;;3 de;11;;Prov B;;Fz Forza Webacsa 2H;;Dibad-Neeroeteren 4H;2;29-1-2017 19:15:00;29-1-2017 19:15:00;;;0;2;0;1;7;13;343;393;False;;;29-1-2017 21:58:24;Club Webacsa;31-1-2017 06:52:11;Bart Hanoulle;false;false;false;false;false;false;false
161528;374;2;Heren;17;;3 de;11;;Prov B;;Dibad-Neeroeteren 4H;;BC BOBAD 2H;3;31-1-2017 20:30:00;31-1-2017 20:30:00;;;1;1;0;0;8;10;322;351;False;;;31-1-2017 20:22:37;Bart Hanoulle;6-2-2017 08:30:24;Henri Achten;false;false;false;false;false;false;false
161528;298;2;Heren;16;;2 de;9;;Prov B;;De Bokkerijder 3H;;Looise 2H;1;3-2-2017 21:00:00;3-2-2017 21:00:00;;;2;0;1;0;15;1;333;229;False;;;6-2-2017 18:12:41;BC DE BOKKERIJDER;7-2-2017 08:01:32;Stijn Wuyts;false;false;false;false;false;false;false
161528;410;2;Heren;18;;4 de;12;;Prov;;FZ Forza Webacsa 4H;;Fz Forza Webacsa 3H;2;4-2-2017 19:15:00;5-2-2017 14:15:00;;;0;2;0;1;6;11;253;329;False;;;5-2-2017 09:42:45;Club Webacsa;5-2-2017 17:31:50;Club Webacsa;false;false;false;false;false;false;false
161528;465;3;Dames;8;;1 ste;13;;Prov;;Fz Forza Webacsa 2D;;Smash 2D;1;4-2-2017 19:15:00;4-2-2017 19:15:00;;;2;0;1;0;16;1;355;164;False;;;5-2-2017 09:38:22;Club Webacsa;;;false;false;false;false;false;false;false
161528;260;2;Heren;16;;2 de;8;;Prov A;;Drive H1;;t pluimke H1;3;5-2-2017 09:15:00;5-2-2017 09:15:00;;;1;1;0;0;9;9;350;343;False;;;5-2-2017 21:38:05;Johan Straetemans;6-2-2017 17:22:49;Badminton T PLUIMKE BC;false;false;false;false;false;false;false
161528;370;2;Heren;17;;3 de;11;;Prov B;;Bilzerse 1H;;Fz Forza Webacsa 2H;2;5-2-2017 09:15:00;5-2-2017 09:15:00;;;0;2;0;1;8;11;360;364;False;;;5-2-2017 14:12:17;jos nijssen;5-2-2017 17:32:37;Club Webacsa;false;false;false;false;false;false;false
161528;563;3;Dames;19;;2 de;14;;Prov;;Neerpelt 2D;;BMC Peer D1;1;5-2-2017 10:00:00;9-4-2017 10:00:00;;;2;0;1;0;10;6;287;255;False;;;5-2-2017 20:42:44;luc driesen;6-2-2017 16:27:55;Stefan Rutten;false;false;false;false;false;false;false
161528;282;2;Heren;16;;2 de;8;;Prov A;;Neerpelt 3H;;De Bokkerijder 2H;2;5-2-2017 10:00:00;5-2-2017 10:00:00;;;0;2;0;1;1;16;232;348;False;;;5-2-2017 20:48:35;luc driesen;5-2-2017 23:02:04;BC DE BOKKERIJDER;false;false;false;false;false;false;false
161528;246;2;Heren;9;;1 ste;7;;Prov;;Opbad 2H;;Dibad 2H;2;5-2-2017 13:30:00;5-2-2017 13:30:00;;;0;2;0;1;7;10;300;324;False;6-2-2017 18:52:29;OPBAD BC;6-2-2017 18:55:38;OPBAD BC;13-2-2017 23:30:13;Bart Hanoulle;false;false;false;false;false;false;false
161528;440;3;Dames;8;;1 ste;13;;Prov;;Poona Hoeselt 1D;;Drive D1;1;5-2-2017 13:30:00;5-2-2017 13:30:00;;;2;0;1;0;10;6;289;273;False;;;5-2-2017 16:50:40;Poona Hoeselt;;;false;false;false;false;false;false;false
