tournamentid;matchid;LeagueTypeID;LeagueTypeName;eventid;eventcode;eventname;drawid;drawcode;drawname;team1id;team1name;team2id;team2name;winner;plannedtime;plannedtime_original;locationid;locationname;team1matchpoints;team2matchpoints;team1matches;team2matches;team1sets;team2sets;team1points;team2points;HomeAwaySwapped;teamresult_enteredon;teamresult_user;submatchresult_enteredon;submatchresult_user;teammatchconfirmed_confirmedon;teammatchconfirmed_user;flag_MatchNotPlayedTeam1DidNotShow;flag_MatchNotPlayedTeam2DidNotShow;flag_PenaltyTeam1;flag_PenaltyTeam2;flag_PenaltyTeam1AllPoints;flag_PenaltyTeam2AllPoints;flag_PenaltyBothTeams
191589;381;1;Gemengd;4;;3° Provinciale;5;;A;;Barloke 2G;;Sportif 1G;3;29-8-2017 20:00:00;2-9-2017 20:00:00;;Sporthal De Barloke;1;1;0;0;9;10;347;356;False;;;1-9-2017 14:11:12;BC Barloke;8-9-2017 14:20:56;bc sportif vzw;false;false;false;false;false;false;false
191589;420;1;Gemengd;4;;3° Provinciale;6;;B;;Westhoek 2G;;Brugse 2G;2;30-8-2017 19:45:00;3-9-2017 14:30:00;;KTA Sportzaal;0;2;0;1;7;13;353;375;False;;;2-9-2017 15:38:34;Westhoek Badminton;21-9-2017 19:26:33;Robin Dumon;false;false;false;false;false;false;false
191589;602;1;Gemengd;6;;5° Provinciale;10;;A;;Sportif 4G;;Tielt 5G;2;30-8-2017 20:30:00;3-9-2017 13:45:00;0F926DD4-F9DD-4618-B3BD-E044638C9D48;Gemeentelijke SPORTHAL;0;2;0;1;2;14;188;321;False;;;4-9-2017 18:38:49;bc sportif vzw;15-9-2017 17:47:42;BC Tielt;false;false;false;false;false;false;false
191589;507;1;Gemengd;5;;4° Provinciale;8;;A;;Sportif 2G;;Varsenare 1G;1;31-8-2017 20:30:00;8-10-2017 13:45:00;0F926DD4-F9DD-4618-B3BD-E044638C9D48;Gemeentelijke SPORTHAL;2;0;1;0;12;6;339;271;False;;;1-9-2017 08:25:17;bc sportif vzw;9-9-2017 19:53:58;Varsenare Badminton;false;false;false;false;false;false;false
191589;436;1;Gemengd;4;;3° Provinciale;6;;B;;Gitse 2G;;Tielt 4G;1;1-9-2017 20:15:00;1-9-2017 20:15:00;B2CF9C8A-C7E1-44BB-A44B-F9DB7F9FB5C9;SPORTHAL OGIERLANDE;2;0;1;0;14;2;330;243;False;;;2-9-2017 18:48:44;Jonas Maes Gitse;3-9-2017 20:39:21;BC Tielt;false;false;false;false;false;false;false
191589;58;1;Gemengd;3;;2° Provinciale;2;;A;;Torhout 1G;;IZBA 2G;1;1-9-2017 20:30:00;1-9-2017 20:30:00;FA6F3DAE-E9F0-419F-96CB-5487B831D3AD;SPORTHAL Zaal A;2;0;1;0;13;6;357;308;False;2-9-2017 16:50:08;Albert Bossuyt Torhout;3-9-2017 23:09:49;Albert Bossuyt Torhout;;;false;false;false;false;false;false;false
191589;303;1;Gemengd;3;;2° Provinciale;4;;B;;Gullegem 1G;;Tielt 2G;2;1-9-2017 20:30:00;1-9-2017 20:30:00;;Sporthal Gullegem;0;2;0;1;5;14;284;361;False;;;2-9-2017 13:57:26;BC Gullegem;15-10-2017 18:45:58;BC Tielt;false;false;false;false;false;false;false
191589;636;1;Gemengd;6;;5° Provinciale;11;;B;;Torhout 3G;;IZBA 4G;2;1-9-2017 20:30:00;1-9-2017 20:30:00;FA6F3DAE-E9F0-419F-96CB-5487B831D3AD;SPORTHAL Zaal A;0;2;0;1;10;11;372;395;False;2-9-2017 16:48:52;Albert Bossuyt Torhout;3-9-2017 19:56:45;Albert Bossuyt Torhout;4-9-2017 22:28:56;club IZBA;false;false;false;false;false;false;false
191589;563;1;Gemengd;5;;4° Provinciale;9;;B;;Brugse 3G;;Haneveld 1G;1;1-9-2017 20:30:00;1-9-2017 20:30:00;;sint-lodewijkscollege;2;0;1;0;15;3;366;246;False;;;3-9-2017 12:38:37;WVBF;26-9-2017 15:55:41;Mercedes Van Den Eynde;false;false;false;false;false;false;false
191589;649;1;Gemengd;6;;5° Provinciale;11;;B;;Gullegem 3G;;Bavikhove 1G;1;1-9-2017 20:30:00;1-9-2017 20:30:00;;Sporthal Gullegem;2;0;1;0;13;6;368;314;False;;;2-9-2017 12:28:15;BC Gullegem;28-11-2017 21:24:01;Badminton Bavikhoofse;false;false;false;false;false;false;false
191589;79;1;Gemengd;3;;2° Provinciale;2;;A;;Ombesa 1G;;waregem 2G;1;2-9-2017 09:15:00;2-9-2017 09:15:00;;tempelhof;2;0;1;0;16;3;382;256;False;;;3-9-2017 22:29:09;bc Ombesa;4-9-2017 19:12:12;Waregem BC;false;false;false;false;false;false;false
191589;1340;1;Gemengd;5;;4° Provinciale;28;;C;;Ombesa 2G;;Gullegem 2G;3;2-9-2017 09:15:00;2-9-2017 09:15:00;;tempelhof;1;1;0;0;11;8;344;334;False;;;3-9-2017 22:39:28;bc Ombesa;4-9-2017 21:25:41;BC Gullegem;false;false;false;false;false;false;false
191589;68;1;Gemengd;3;;2° Provinciale;2;;A;;LEBAD Kortrijk 4G;;De Valkaart 2G;2;2-9-2017 18:30:00;2-9-2017 18:30:00;16C9C2EA-F569-4A79-804D-B3F1F59B1A4A;STED SPORTHAL;0;2;0;1;9;10;360;353;False;4-9-2017 19:30:46;Lebad Kortrijk;4-9-2017 19:38:15;Lebad Kortrijk;7-9-2017 10:35:38;BC De Valkaart;false;false;false;false;false;false;false
191589;335;1;Gemengd;3;;2° Provinciale;4;;B;;LEBAD Kortrijk 3G;;OBTC 1G;2;2-9-2017 18:30:00;2-9-2017 18:30:00;16C9C2EA-F569-4A79-804D-B3F1F59B1A4A;STED SPORTHAL;0;2;0;1;7;14;351;404;False;;;4-9-2017 10:58:20;Lebad Kortrijk;7-9-2017 21:23:11;De Oostendse Badmintonclub OBTC;false;false;false;false;false;false;false
191589;362;1;Gemengd;4;;3° Provinciale;5;;A;;OBTC 2G;;waregem 3G;3;2-9-2017 19:30:00;2-9-2017 19:30:00;908401B7-4A97-4C8C-B766-F979F5829975;De Spuikom;1;1;0;0;9;9;307;340;False;3-9-2017 11:16:03;De Oostendse Badmintonclub OBTC;3-9-2017 11:28:46;De Oostendse Badmintonclub OBTC;12-10-2017 08:40:56;Mercedes Van Den Eynde;false;false;false;false;false;false;false
191589;366;1;Gemengd;4;;3° Provinciale;5;;A;;Roeselare 1G;;Torhout 2G;3;2-9-2017 19:30:00;2-9-2017 19:30:00;0932F6CA-648C-4122-92EE-371D3B484F24;SCHIERVELDE;1;1;0;0;9;8;326;290;False;;;3-9-2017 11:02:22;Jozef Verbrugghe;16-9-2017 18:20:09;Albert Bossuyt Torhout;false;false;false;false;false;false;false
191589;571;1;Gemengd;5;;4° Provinciale;9;;B;;Barloke 3G;;LEBAD Kortrijk 6G;1;2-9-2017 20:00:00;2-9-2017 20:00:00;;Sporthal De Barloke;2;0;1;0;16;1;358;219;False;;;3-9-2017 21:44:35;BC Barloke;4-9-2017 20:01:35;Lebad Kortrijk;false;false;false;false;false;false;false
191589;410;1;Gemengd;4;;3° Provinciale;6;;B;;De Valkaart 3G;;Blankenbergse 1G;3;3-9-2017 09:00:00;3-9-2017 09:00:00;;De Valkaart;1;1;0;0;8;9;306;311;False;;;4-9-2017 20:43:04;BC De Valkaart;24-9-2017 13:26:25;BC Blankenbergse;false;false;false;false;false;false;false
191589;327;1;Gemengd;3;;2° Provinciale;4;;B;;De Valkaart 1G;;BC Oostrozebeke 2G;1;3-9-2017 09:00:00;3-9-2017 09:00:00;;De Valkaart;2;0;1;0;15;5;408;344;False;;;3-9-2017 20:22:38;BC De Valkaart;12-10-2017 12:03:12;BC Oostrozebeke;false;false;false;false;false;false;false
191589;1352;1;Gemengd;5;;4° Provinciale;9;;B;;Ieper 1G;;Gitse 3G;1;3-9-2017 09:45:00;3-9-2017 09:45:00;;Sporthal Ieper;2;0;1;0;15;4;382;285;False;;;4-9-2017 17:57:50;Ieperse BC;27-9-2017 09:58:25;Jonas Maes Gitse;false;false;false;false;false;false;false
191589;30;1;Gemengd;2;;1° Provinciale;1;;A;;Westhoek 1G;;Barloke 1G;2;3-9-2017 14:30:00;3-9-2017 14:30:00;38D9BE2C-2CE4-4EFD-9565-9DFB2214AEDA;Sportzaal Den Oosthoek;0;2;0;1;4;14;296;351;False;;;3-9-2017 22:03:22;Westhoek Badminton;19-9-2017 15:13:08;Nathan Vandenberghe;false;false;false;false;false;false;false
191589;658;1;Gemengd;6;;5° Provinciale;11;;B;;Westhoek 4G;;Tielt 6G;2;3-9-2017 14:30:00;3-9-2017 14:30:00;38D9BE2C-2CE4-4EFD-9565-9DFB2214AEDA;Sportzaal Den Oosthoek;0;2;0;1;6;13;334;374;False;3-9-2017 20:05:05;Westhoek Badminton;3-9-2017 20:22:46;Westhoek Badminton;4-9-2017 15:09:27;BC Tielt;false;false;false;false;false;false;false
191589;9;1;Gemengd;2;;1° Provinciale;1;;A;;waregem 1G;;Brugse 1G;1;4-9-2017 20:15:00;4-9-2017 20:15:00;;treffer;2;0;1;0;10;7;307;313;False;;;5-9-2017 20:03:39;Waregem BC;5-9-2017 20:07:22;WVBF;false;false;false;false;false;false;false
191589;17;1;Gemengd;2;;1° Provinciale;1;;A;;Zuidwest 1G;;Zuidwest 2G;3;4-9-2017 20:15:00;4-9-2017 20:15:00;EDCCACB1-AA95-46CF-9B29-9C2416941CB1;TER LINDE;1;1;0;0;11;8;364;334;False;;;5-9-2017 21:00:25;club Zuid West;12-9-2017 22:52:16;club Zuid West;false;false;false;false;false;false;false
191589;500;1;Gemengd;5;;4° Provinciale;8;;A;;Barloke 4G;;Brugse 4G;3;5-9-2017 20:15:00;5-9-2017 20:00:00;;Sporthal De Barloke;1;1;0;0;8;8;282;251;False;;;6-9-2017 20:58:36;BC Barloke;7-9-2017 18:59:10;Robin Dumon;false;false;false;false;false;false;false
191589;530;1;Gemengd;5;;4° Provinciale;8;;A;;Roeselare 2G;;IZBA 3G;1;6-9-2017 20:00:00;6-9-2017 20:00:00;;Sporthal De Ark;2;0;1;0;14;4;359;252;False;;;7-9-2017 12:27:09;Jozef Verbrugghe;8-9-2017 07:08:10;club IZBA;false;false;false;false;false;false;false
191589;605;1;Gemengd;6;;5° Provinciale;10;;A;;Roeselare 3G;;LEBAD Kortrijk 7G;1;6-9-2017 20:00:00;6-9-2017 20:00:00;;Sporthal De Ark;2;0;1;0;15;6;412;329;False;;;7-9-2017 12:37:26;Jozef Verbrugghe;7-9-2017 19:10:59;Lebad Kortrijk;false;false;false;false;false;false;false
