tournamentid;teammatchid;matchorder;matchid;matchtypeid;matchtypeno;team1player1memberid;team1player2memberid;team2player1memberid;team2player2memberid;winner;setcount;set1team1;set1team2;set2team1;set2team2;set3team1;set3team2;team1points;team2points;team1sets;team2sets;flag_MatchNotPlayedNoPlayers;flag_MatchNotPlayedTeam1DidNotShow;flag_MatchNotPlayedTeam2DidNotShow;flag_PenaltyTeam1;flag_PenaltyTeam2;flag_RetirementTeam1;flag_RetirementTeam2
190798;981;1;6625;HD;0;50082763;50107054;50070533;50078554;2;2;16;21;18;21;0;0;34;42;0;2;false;false;false;false;false;false;false
190798;981;2;6626;DD;0;50063814;50095950;50091985;50090271;2;2;9;21;11;21;0;0;20;42;0;2;false;false;false;false;false;false;false
190798;981;3;6627;HE;1;50066243;;50070533;;1;3;19;21;21;17;21;17;61;55;2;1;false;false;false;false;false;false;false
190798;981;4;6628;HE;2;50107054;;50078554;;2;3;23;21;19;21;14;21;56;63;1;2;false;false;false;false;false;false;false
190798;981;5;6629;DE;1;50063814;;50090271;;1;2;21;18;21;18;0;0;42;36;2;0;false;false;false;false;false;false;false
190798;981;6;6630;DE;2;50073617;;50088566;;2;3;20;22;21;18;5;21;46;61;1;2;false;false;false;false;false;false;false
190798;981;7;6631;GD;1;50082763;50095950;50078554;50091985;2;2;10;21;21;23;0;0;31;44;0;2;false;false;false;false;false;false;false
190798;981;8;6632;GD;2;50066243;50073617;50070533;50088566;2;2;14;21;19;21;0;0;33;42;0;2;false;false;false;false;false;false;false
190798;982;1;6633;HD;0;50100601;50111087;50070533;50078554;1;2;21;15;21;10;0;0;42;25;2;0;false;false;false;false;false;false;false
190798;982;2;6634;DD;0;50050239;50057017;50091985;50088566;2;2;14;21;14;21;0;0;28;42;0;2;false;false;false;false;false;false;false
190798;982;3;6635;HE;1;50100601;;50070533;;1;2;25;23;21;15;0;0;46;38;2;0;false;false;false;false;false;false;false
190798;982;4;6636;HE;2;50090259;;50078554;;1;3;11;21;21;12;21;17;53;50;2;1;false;false;false;false;false;false;false
190798;982;5;6637;DE;1;50057017;;50088566;;2;2;14;21;16;21;0;0;30;42;0;2;false;false;false;false;false;false;false
190798;982;6;6638;DE;2;50051446;;50099745;;2;2;14;21;11;21;0;0;25;42;0;2;false;false;false;false;false;false;false
190798;982;7;6639;GD;1;50111087;50051446;50091985;50078554;2;2;10;21;15;21;0;0;25;42;0;2;false;false;false;false;false;false;false
190798;982;8;6640;GD;2;50050239;50090259;50070533;50088566;2;3;21;15;18;21;14;21;53;57;1;2;false;false;false;false;false;false;false
190798;983;1;6641;HD;0;50063687;50060670;50070533;50059215;1;2;21;15;21;19;0;0;42;34;2;0;false;false;false;false;false;false;false
190798;983;2;6642;DD;0;50059462;50054049;50091985;50090271;2;2;7;21;19;21;0;0;26;42;0;2;false;false;false;false;false;false;false
190798;983;3;6643;HE;1;50060670;;50070533;;1;2;21;17;21;13;0;0;42;30;2;0;false;false;false;false;false;false;false
190798;983;4;6644;HE;2;50045642;;50078554;;1;2;23;21;21;17;0;0;44;38;2;0;false;false;false;false;false;false;false
190798;983;5;6645;DE;1;50059462;;50090271;;1;3;21;5;10;21;21;15;52;41;2;1;false;false;false;false;false;false;false
190798;983;6;6646;DE;2;50054050;;50088566;;1;3;21;13;14;21;21;11;56;45;2;1;false;false;false;false;false;false;false
190798;983;7;6647;GD;1;50045642;50054050;50078554;50091985;2;2;20;22;10;21;0;0;30;43;0;2;false;false;false;false;false;false;false
190798;983;8;6648;GD;2;50063687;50054049;50059215;50088566;1;2;21;13;22;20;0;0;43;33;2;0;false;false;false;false;false;false;false
190798;984;1;6649;HD;0;50004226;50020521;50070533;50078554;2;2;16;21;19;21;0;0;35;42;0;2;false;false;false;false;false;false;false
