tournamentid;teammatchid;matchorder;matchid;matchtypeid;matchtypeno;team1player1memberid;team1player2memberid;team2player1memberid;team2player2memberid;winner;setcount;set1team1;set1team2;set2team1;set2team2;set3team1;set3team2;team1points;team2points;team1sets;team2sets;flag_MatchNotPlayedNoPlayers;flag_MatchNotPlayedTeam1DidNotShow;flag_MatchNotPlayedTeam2DidNotShow;flag_PenaltyTeam1;flag_PenaltyTeam2;flag_RetirementTeam1;flag_RetirementTeam2
202556;9;1;1;HD;1;50062477;50082335;50070602;50100089;2;2;19;21;12;21;0;0;31;42;0;2;false;false;false;false;false;false;false
202556;9;2;2;HD;2;50062477;50082335;50068452;50100089;2;3;13;21;21;16;21;23;55;60;1;2;false;false;false;false;false;false;false
202556;9;3;3;HD;3;50068037;50049832;50068452;50073099;2;2;17;21;17;21;0;0;34;42;0;2;false;false;false;false;false;false;false
202556;9;4;4;HD;4;50068037;50049832;50070602;50073099;2;2;9;21;11;21;0;0;20;42;0;2;false;false;false;false;false;false;false
202556;9;5;5;HE;1;50068037;;50070602;;1;3;21;11;12;21;21;19;54;51;2;1;false;false;false;false;false;false;false
202556;9;6;6;HE;2;50062477;;50068452;;2;2;11;21;14;21;0;0;25;42;0;2;false;false;false;false;false;false;false
202556;9;7;7;HE;3;50082335;;50100089;;2;3;21;18;10;21;19;21;50;60;1;2;false;false;false;false;false;false;false
202556;9;8;8;HE;4;50049832;;50073099;;2;2;0;21;0;21;0;0;0;42;0;2;false;false;false;false;false;false;false
202556;10;1;9;HD;1;50085218;50440837;50066186;50101637;1;2;21;13;21;16;0;0;42;29;2;0;false;false;false;false;false;false;false
202556;10;2;10;HD;2;50063999;50010580;50095242;50101637;1;2;21;17;21;13;0;0;42;30;2;0;false;false;false;false;false;false;false
202556;10;3;11;HD;3;50063999;50010580;50095845;50095242;1;3;19;21;21;11;21;12;61;44;2;1;false;false;false;false;false;false;false
202556;10;4;12;HD;4;50440837;50032939;50066186;50105472;1;2;21;14;21;12;0;0;42;26;2;0;false;false;false;false;false;false;false
202556;10;5;13;HE;1;50032939;;50101637;;2;3;22;20;14;21;18;21;54;62;1;2;false;false;false;false;false;false;false
202556;10;6;14;HE;2;50085218;;50095242;;2;2;24;26;11;21;0;0;35;47;0;2;false;false;false;false;false;false;false
202556;10;7;15;HE;3;50063999;;50095845;;1;3;20;22;21;14;21;17;62;53;2;1;false;false;false;false;false;false;false
202556;10;8;16;HE;4;50440837;;50105472;;2;2;21;23;19;21;0;0;40;44;0;2;false;false;false;false;false;false;false
202556;11;1;17;HD;1;50072775;50085505;50068452;50095845;1;2;21;13;21;10;0;0;42;23;2;0;false;false;false;false;false;false;false
202556;11;2;18;HD;2;50085505;50085115;50073099;50095845;1;2;21;11;21;19;0;0;42;30;2;0;false;false;false;false;false;false;false
202556;11;3;19;HD;3;50072775;50108575;50070602;50073099;1;3;21;18;22;24;21;17;64;59;2;1;false;false;false;false;false;false;false
202556;11;4;20;HD;4;50085115;50089121;50068452;50070602;2;2;11;21;16;21;0;0;27;42;0;2;false;false;false;false;false;false;false
202556;11;5;21;HE;1;50085505;;50070602;;1;3;17;21;21;14;21;11;59;46;2;1;false;false;false;false;false;false;false
202556;11;6;22;HE;2;50072775;;50068452;;1;2;21;11;21;11;0;0;42;22;2;0;false;false;false;false;false;false;false
202556;11;7;23;HE;3;50085115;;50073099;;1;2;21;12;21;12;0;0;42;24;2;0;false;false;false;false;false;false;false
202556;11;8;24;HE;4;50089121;;50095845;;1;2;21;8;21;14;0;0;42;22;2;0;false;false;false;false;false;false;false
202556;12;1;25;HD;1;50402935;50083381;50068452;50073099;2;2;13;21;14;21;0;0;27;42;0;2;false;false;false;false;false;false;false
202556;12;2;26;HD;2;50402935;50026720;50068452;50042798;2;2;19;21;15;21;0;0;34;42;0;2;false;false;false;false;false;false;false
202556;12;3;27;HD;3;50070387;50083381;50073099;50104824;2;2;15;21;20;22;0;0;35;43;0;2;false;false;false;false;false;false;false
202556;12;4;28;HD;4;50070387;50026720;50104824;50042798;2;2;15;21;15;21;0;0;30;42;0;2;false;false;false;false;false;false;false
202556;12;5;29;HE;1;50402935;;50068452;;2;3;21;17;9;21;18;21;48;59;1;2;false;false;false;false;false;false;false
202556;12;6;30;HE;2;50083381;;50104824;;2;3;21;13;10;21;17;21;48;55;1;2;false;false;false;false;false;false;false
202556;12;7;31;HE;3;50070387;;50073099;;2;2;15;21;16;21;0;0;31;42;0;2;false;false;false;false;false;false;false
202556;12;8;32;HE;4;50026720;;50042798;;2;2;13;21;6;21;0;0;19;42;0;2;false;false;false;false;false;false;false
202556;13;1;33;HD;1;50033848;50033912;50070602;50073099;2;3;21;19;19;21;20;22;60;62;1;2;false;false;false;false;false;false;false
202556;13;2;34;HD;2;50033848;50076408;50101637;50073099;2;3;17;21;21;19;10;21;48;61;1;2;false;false;false;false;false;false;false
202556;13;3;35;HD;3;50067250;50033912;50070602;50100089;2;2;19;21;14;21;0;0;33;42;0;2;false;false;false;false;false;false;false
202556;13;4;36;HD;4;50067250;50075746;50101637;50100089;2;2;16;21;15;21;0;0;31;42;0;2;false;false;false;false;false;false;false
202556;13;5;37;HE;1;50033848;;50070602;;2;2;17;21;12;21;0;0;29;42;0;2;false;false;false;false;false;false;false
202556;13;6;38;HE;2;50067250;;50100089;;2;3;21;17;14;21;21;23;56;61;1;2;false;false;false;false;false;false;false
202556;13;7;39;HE;3;50076408;;50101637;;2;2;10;21;11;21;0;0;21;42;0;2;false;false;false;false;false;false;false
202556;13;8;40;HE;4;50075746;;50073099;;2;2;13;21;13;21;0;0;26;42;0;2;false;false;false;false;false;false;false
202556;14;1;41;HD;1;50077357;50030318;50070602;50101637;1;2;21;11;21;19;0;0;42;30;2;0;false;false;false;false;false;false;false
202556;14;2;42;HD;2;50077357;50033302;50101637;50095845;1;2;21;18;21;13;0;0;42;31;2;0;false;false;false;false;false;false;false
202556;14;3;43;HD;3;50043784;50030318;50070602;50073099;1;2;21;18;21;12;0;0;42;30;2;0;false;false;false;false;false;false;false
202556;14;4;44;HD;4;50043784;50033302;50095845;50073099;2;2;20;22;14;21;0;0;34;43;0;2;false;false;false;false;false;false;false
202556;14;5;45;HE;1;50077357;;50070602;;1;2;21;14;21;13;0;0;42;27;2;0;false;false;false;false;false;false;false
202556;14;6;46;HE;2;50083193;;50101637;;2;2;9;21;19;21;0;0;28;42;0;2;false;false;false;false;false;false;false
202556;14;7;47;HE;3;50033302;;50095845;;1;2;21;17;21;17;0;0;42;34;2;0;false;false;false;false;false;false;false
