tournamentid;matchid;LeagueTypeID;LeagueTypeName;eventid;eventcode;eventname;drawid;drawcode;drawname;team1id;team1name;team2id;team2name;winner;plannedtime;plannedtime_original;locationid;locationname;team1matchpoints;team2matchpoints;team1matches;team2matches;team1sets;team2sets;team1points;team2points;HomeAwaySwapped;teamresult_enteredon;teamresult_user;submatchresult_enteredon;submatchresult_user;teammatchconfirmed_confirmedon;teammatchconfirmed_user;flag_MatchNotPlayedTeam1DidNotShow;flag_MatchNotPlayedTeam2DidNotShow;flag_PenaltyTeam1;flag_PenaltyTeam2;flag_PenaltyTeam1AllPoints;flag_PenaltyTeam2AllPoints;flag_PenaltyBothTeams
202556;110;1;Heren;5;;2° Provinciale;3;;B;;Westhoek 2H;;Brugse 2H;2;3-1-2018 20:00:00;28-1-2018 14:30:00;;KTA De Panne;0;2;0;1;9;11;331;359;False;;;6-1-2018 12:21:33;Jonathan Lerat;8-1-2018 12:59:50;Robin Dumon;false;false;false;false;false;false;false
202556;405;2;Dames;9;;1° Provinciale;10;;A;;Sportif 2D;;Sportif 1D;1;4-1-2018 20:30:00;7-1-2018 13:45:00;;Sportcentrum Eernegem;2;0;1;0;14;6;394;288;False;;;6-1-2018 19:45:51;bc sportif vzw;7-1-2018 19:26:00;bc sportif vzw;false;false;false;false;false;false;false
202556;285;1;Heren;7;;4° Provinciale;7;;C;;Sportif 2H;;LEBAD Kortrijk 4H;3;4-1-2018 20:30:00;4-1-2018 20:30:00;;Sportcentrum Eernegem;1;1;0;0;11;10;383;391;False;;;6-1-2018 16:29:14;bc sportif vzw;7-1-2018 18:51:22;Lebad Kortrijk;false;false;false;false;false;false;false
202556;78;1;Heren;5;;2° Provinciale;2;;A;;Brugse 1H;;LEBAD Kortrijk 2H;1;5-1-2018 20:30:00;5-1-2018 20:30:00;;Sint Lodewijkscollege;2;0;1;0;13;5;361;330;False;;;6-1-2018 02:02:37;WVBF;6-1-2018 12:44:51;Lebad Kortrijk;false;false;false;false;false;false;false
202556;444;2;Dames;10;;2° Provinciale;11;;A;;Gullegem 1D;;Roeselare 1D;2;5-1-2018 20:30:00;5-1-2018 20:30:00;;Sporthal Gullegem;0;2;0;1;4;14;275;360;False;;;6-1-2018 10:28:46;BC Gullegem;22-2-2018 09:37:57;Jozef Verbrugghe;false;false;false;false;false;false;false
202556;509;2;Dames;11;;3° Provinciale;13;;A;;Torhout 2D;;Sportif 3D;1;5-1-2018 20:30:00;5-1-2018 20:30:00;;Sportcentrum Benny Vansteelant;2;0;1;0;16;0;336;194;False;;;6-1-2018 18:31:18;Albert Bossuyt Torhout;6-1-2018 19:57:16;bc sportif vzw;false;false;false;false;false;false;false
202556;634;2;Dames;10;;2° Provinciale;11;;A;;Brugse 2D;;LEBAD Kortrijk 3D;3;5-1-2018 20:30:00;5-1-2018 20:30:00;;Sint Lodewijkscollege;1;1;0;0;9;9;326;334;False;;;6-1-2018 02:28:54;WVBF;8-1-2018 09:10:56;Lebad Kortrijk;false;false;false;false;false;false;false
202556;475;2;Dames;10;;2° Provinciale;12;;B;;Brugse 1D;;DZ99 4D;1;5-1-2018 20:30:00;5-1-2018 20:30:00;;Sint Lodewijkscollege;2;0;1;0;16;1;349;210;False;;;6-1-2018 02:12:04;WVBF;8-1-2018 10:40:00;DZ 99;false;false;false;false;false;false;false
202556;124;1;Heren;5;;2° Provinciale;3;;B;;Torhout 1H;;DZ99 3H;2;5-1-2018 20:30:00;5-1-2018 20:30:00;;Sportcentrum Benny Vansteelant;0;2;0;1;1;16;273;365;False;;;6-1-2018 14:52:30;Albert Bossuyt Torhout;14-1-2018 20:36:36;DZ 99;false;false;false;false;false;false;false
202556;132;1;Heren;5;;2° Provinciale;3;;B;;Brugse 2H;;Tielt 2H;2;5-1-2018 20:30:00;5-1-2018 20:30:00;;Sint Lodewijkscollege;0;2;0;1;7;13;327;382;False;;;6-1-2018 02:18:15;WVBF;;;false;false;false;false;false;false;false
