tournamentid;matchid;LeagueTypeID;LeagueTypeName;eventid;eventcode;eventname;drawid;drawcode;drawname;team1id;team1name;team2id;team2name;winner;plannedtime;plannedtime_original;locationid;locationname;team1matchpoints;team2matchpoints;team1matches;team2matches;team1sets;team2sets;team1points;team2points;HomeAwaySwapped;teamresult_enteredon;teamresult_user;submatchresult_enteredon;submatchresult_user;teammatchconfirmed_confirmedon;teammatchconfirmed_user;flag_MatchNotPlayedTeam1DidNotShow;flag_MatchNotPlayedTeam2DidNotShow;flag_PenaltyTeam1;flag_PenaltyTeam2;flag_PenaltyTeam1AllPoints;flag_PenaltyTeam2AllPoints;flag_PenaltyBothTeams
161323;425;1;gemengd;5;;5de prov;9;;5de prov A;;SPORTIF 4G;;LEBAD Kortrijk 7G;3;5-10-2016 20:30:00;9-10-2016 13:45:00;;;1;1;0;0;9;10;349;354;False;;;6-10-2016 08:46:36;bc sportif vzw;6-10-2016 23:55:49;Lebad Kortrijk;false;false;false;false;false;false;false
161323;374;1;gemengd;4;;4de prov;8;;4de prov C;;SPORTIF 3G;;De Valkaart 3G;2;6-10-2016 20:30:00;9-10-2016 13:45:00;;;0;2;0;1;6;12;279;319;False;9-10-2016 09:23:30;bc sportif vzw;9-10-2016 21:53:16;WVBF;10-10-2016 20:35:01;BC De Valkaart;false;false;false;false;false;false;false
161323;159;1;gemengd;3;;3de prov;4;;3de prov A;;Gitse 2G;;OBTC 2G;1;7-10-2016 20:15:00;7-10-2016 20:15:00;;;2;0;1;0;12;5;334;276;False;;;8-10-2016 08:07:11;Jonas Maes Gitse;16-10-2016 20:06:04;De Oostendse Badmintonclub OBTC;false;false;false;false;false;false;false
161323;141;1;gemengd;2;;2de prov;3;;2de prov B;;Torhout 2G;;Tielt 2G;2;7-10-2016 20:30:00;9-12-2016 20:30:00;;;0;2;0;1;4;13;291;345;False;;;8-10-2016 02:08:23;Albert Bossuyt Torhout;8-10-2016 11:29:25;BC Tielt;false;false;false;false;false;false;false
161323;414;1;gemengd;5;;5de prov;9;;5de prov A;;Torhout 4G;;SPORTIF 4G;1;7-10-2016 20:30:00;23-9-2016 20:30:00;;;2;0;1;0;12;7;345;345;False;;;8-10-2016 02:16:31;Albert Bossuyt Torhout;9-10-2016 23:14:16;bc sportif vzw;false;false;false;false;false;false;false
161323;109;1;gemengd;2;;2de prov;3;;2de prov B;;Ombesa 1G;;Oostrozebeke 3G;1;8-10-2016 09:15:00;8-10-2016 09:15:00;;;2;0;1;0;16;2;376;286;False;;;8-10-2016 19:36:10;bc Ombesa;19-3-2017 22:51:59;BC Oostrozebeke;false;false;false;false;false;false;false
161323;463;1;gemengd;5;;5de prov;10;;5de prov B;;Bavikhoofse 1G;;Roeselare 3G;3;8-10-2016 14:00:00;8-10-2016 14:00:00;;;1;1;0;0;8;10;293;311;False;8-10-2016 17:23:36;Badminton Bavikhoofse;8-10-2016 17:36:57;Badminton Bavikhoofse;5-12-2016 16:34:39;Jozef Verbrugghe;false;false;false;false;false;false;false
161323;65;1;gemengd;2;;2de prov;2;;2de prov A;;LEBAD Kortrijk 3G;;Gullegem 1G;2;8-10-2016 18:30:00;8-10-2016 18:30:00;;;0;2;0;1;8;11;334;359;False;14-10-2016 22:47:43;Lebad Kortrijk;16-10-2016 17:52:38;WVBF;19-11-2016 01:01:43;BC Gullegem;false;false;false;false;false;false;false
161323;334;1;gemengd;4;;4de prov;7;;4de prov B;;LEBAD Kortrijk 5G;;Tielt 6G;1;8-10-2016 18:30:00;10-9-2016 18:30:00;;;2;0;1;0;15;3;367;266;False;;;9-10-2016 09:13:14;Lebad Kortrijk;20-11-2016 15:29:26;BC Tielt;false;false;false;false;false;false;false
161323;114;1;gemengd;2;;2de prov;3;;2de prov B;;DZ99 4G;;De Valkaart 2G;2;8-10-2016 19:00:00;8-10-2016 19:00:00;;;0;2;0;1;7;10;305;318;False;;;9-10-2016 17:30:54;DZ 99;;;false;false;false;false;false;false;false
161323;297;1;gemengd;4;;4de prov;6;;4de prov A;;VBC 1G;;Loppem 1G;1;8-10-2016 19:15:00;24-9-2016 19:15:00;;;2;0;1;0;12;4;307;231;False;14-10-2016 13:05:41;Varsenare Badminton;15-10-2016 13:41:27;WVBF;23-10-2016 10:54:58;Badminton Loppem;false;false;false;false;false;false;false
161323;60;1;gemengd;2;;2de prov;2;;2de prov A;;OBTC 1G;;Oostrozebeke 2G;1;8-10-2016 19:30:00;8-10-2016 19:30:00;;;2;0;1;0;16;1;356;219;False;9-10-2016 12:06:31;De Oostendse Badmintonclub OBTC;9-10-2016 12:15:01;De Oostendse Badmintonclub OBTC;19-3-2017 22:52:03;BC Oostrozebeke;false;false;false;false;false;false;false
161323;369;1;gemengd;4;;4de prov;8;;4de prov C;;Roeselare 2G;;IZBA 3G;1;8-10-2016 19:30:00;8-10-2016 19:30:00;;;2;0;1;0;10;8;344;298;False;;;9-10-2016 10:13:57;Jozef Verbrugghe;11-10-2016 07:44:45;club IZBA;false;false;false;false;false;false;false
161323;11;1;gemengd;1;;1ste prov;1;;1ste prov;;De valkaart 1G;;Zuidwest 2G;2;9-10-2016 09:00:00;9-10-2016 09:00:00;;;0;2;0;1;6;12;300;333;False;13-10-2016 10:19:52;BC De Valkaart;15-10-2016 13:27:12;WVBF;21-11-2016 23:40:36;club Zuid West;false;false;false;false;false;false;false
161323;43;1;gemengd;1;;1ste prov;1;;1ste prov;;IZBA 1G;;Torhout 1G;1;9-10-2016 09:30:00;11-12-2016 09:30:00;;;2;0;1;0;13;7;377;354;False;;;9-10-2016 17:58:17;club IZBA;10-10-2016 09:47:05;Albert Bossuyt Torhout;false;false;false;false;false;false;false
